slug,spread,deep_ratio,deep_bid,deep_ask,up_ask,down_ask,winner,mid_price_up
btc-updown-5m-1772155500,0.13,0.9945922978871335,6437.25,35.0,0.67,0.46,Down,0.605
btc-updown-5m-1772157900,0.42,0.13506672031113792,80.57,515.95,0.85,0.57,Down,0.64
btc-updown-5m-1772174400,0.04999999999999993,0.013213079529103302,75.39,5630.32,0.96,0.09,Up,0.935
btc-updown-5m-1772180400,0.08000000000000002,0.6218523800068593,689.0,418.98,0.32,0.76,Down,0.28
btc-updown-5m-1772186700,0.07199999999999995,0.036946332084728355,278.64000000000004,7263.11,0.982,0.09,Up,0.946
btc-updown-5m-1772197800,0.29000000000000004,1.0,79.03999999999999,0.0,0.99,0.3,Up,0.845
btc-updown-5m-1772198700,0.37,0.008864583262303018,39.0,4360.53,0.72,0.65,Up,0.5349999999999999
btc-updown-5m-1772201100,0.17999999999999994,0.33583035882021417,4147.29,8202.07,0.97,0.21,Down,0.88
btc-updown-5m-1772203500,0.31,0.6856723593639884,710.24,325.59000000000003,0.61,0.7,Down,0.45499999999999996
btc-updown-5m-1772205300,0.08000000000000007,0.1376921650300998,274.7,1720.33,0.91,0.17,Up,0.87
