slug,entry_price,fee,payout,pnl,depth_ratio_at_signal,depth_ratio_zscore,spread_at_signal,spread_zscore,mid_price_at_signal,snapshot_idx,total_snapshots
btc-updown-5m-1771789500,0.33,8.9533262115e-05,0.0,-0.33008953326211504,1.0352294401436104,2.5905993727212007,0.010000000000000009,-0.8679262072198786,0.325,223,20150
btc-updown-5m-1771830300,0.5,0.0001734375,0.0,-0.5001734375,2.6060263026469124,1.998175113780431,0.010000000000000009,0.0,0.495,19,34936
btc-updown-5m-1771839300,0.5,0.0001734375,1.0,0.4998265625,0.9527498592222239,1.5516100738683072,0.010000000000000009,-0.3744824257748621,0.495,92,27887
btc-updown-5m-1771843800,0.51,0.00017676475330500002,1.0,0.48982323524669497,1.170887271048822,2.3731399019728774,0.010000000000000009,-1.0093383506321683,0.505,85,22717
btc-updown-5m-1771910700,0.53,0.00018252245761499997,1.0,0.46981747754238495,7.558070665123562,1.5655958204121534,0.010000000000000009,-0.5929001705556319,0.525,39,34513
btc-updown-5m-1771985400,0.46,0.00015752663568000005,1.0,0.53984247336432,0.4711522734707229,2.0383188401932197,0.010000000000000009,-0.4885511999170945,0.455,48,23166
btc-updown-5m-1771993800,0.51,0.00017676475330500002,0.0,-0.510176764753305,1.792594400048801,1.9558767285857102,0.010000000000000009,0.1490711984999861,0.505,44,25723
btc-updown-5m-1772070600,0.49,0.00016983280219500004,0.0,-0.490169832802195,0.1963228820584663,2.5727858956733116,0.010000000000000009,-0.3655630775069656,0.485,348,25457
btc-updown-5m-1772084700,0.51,0.00017676475330500002,1.0,0.48982323524669497,0.5589194792524163,1.5363804500128635,0.010000000000000009,0.0,0.505,104,21524
btc-updown-5m-1772110200,0.5,0.0001734375,0.0,-0.5001734375,2.896065425977204,3.4177591203904023,0.020000000000000018,0.0,0.49,19,17088
btc-updown-5m-1772182800,0.51,0.00017676475330500002,0.0,-0.510176764753305,1.0513911074960063,5.7562320563063345,0.010000000000000009,0.0,0.505,38,48360
btc-updown-5m-1772226900,0.52,0.00017979826176,1.0,0.47982020173823997,1.371192670468366,4.414865266083236,0.030000000000000027,0.3420744441976544,0.505,92,28353
btc-updown-5m-1772237700,0.51,0.00017676475330500002,0.0,-0.510176764753305,0.9532297196665785,1.8759393588709679,0.010000000000000009,-0.7649252022979526,0.505,89,22195
btc-updown-5m-1772252100,0.55,0.00018698470312500002,0.0,-0.550186984703125,4.939281437125748,2.3403690066665104,0.010000000000000009,-0.6696824443504455,0.545,104,32081
btc-updown-5m-1772292300,0.49,0.00016983280219500004,1.0,0.509830167197805,0.37445161117474085,3.020005103555682,0.010000000000000009,0.0,0.485,45,38245
btc-updown-5m-1772294700,0.52,0.00017979826176,1.0,0.47982020173823997,2.5994989466492058,2.6948698142633525,0.020000000000000018,0.0,0.51,21,41138
btc-updown-5m-1772430900,0.51,0.00017676475330500002,0.0,-0.510176764753305,2.4019683272424186,1.6932481601954905,0.010000000000000009,-0.5110540654373253,0.505,48,34355
btc-updown-5m-1772438100,0.51,0.00017676475330500002,1.0,0.48982323524669497,2.1082652637408277,1.8362884506013368,0.010000000000000009,-4.47721504346782,0.505,21,49401
btc-updown-5m-1772469000,0.52,0.00017979826176,0.0,-0.52017979826176,1.7090465266749015,1.682469025547564,0.010000000000000009,-1.5430334996209196,0.515,20,50421
